location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,11.9,12.0
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.0,12.1
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.1,12.2
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.2,12.3
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.3,12.4
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.4,12.5
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.5,12.6
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.6,12.7
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.7,12.8
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.8,12.9
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,12.9,13.0
HHS Region 1,2 wk ahead,percent,1.9224738078185e-10,Bin,13.0,100.0
HHS Region 1,3 wk ahead,percent,1.87486802017605e-10,Bin,0.0,0.1
HHS Region 1,3 wk ahead,percent,3.75055547163912e-10,Bin,0.1,0.2
HHS Region 1,3 wk ahead,percent,1.59953966403779e-09,Bin,0.2,0.3
HHS Region 1,3 wk ahead,percent,1.04564286629967e-08,Bin,0.3,0.4
HHS Region 1,3 wk ahead,percent,0.00500003388659839,Bin,0.4,0.5
HHS Region 1,3 wk ahead,percent,0.0060000715222099,Bin,0.5,0.6
HHS Region 1,3 wk ahead,percent,0.00500009561092621,Bin,0.6,0.7
HHS Region 1,3 wk ahead,percent,0.0240000881685511,Bin,0.7,0.8
HHS Region 1,3 wk ahead,percent,0.0640000600878286,Bin,0.8,0.9
HHS Region 1,3 wk ahead,percent,0.0890000292610249,Bin,0.9,1.0
HHS Region 1,3 wk ahead,percent,0.131999973928622,Bin,1.0,1.1
HHS Region 1,3 wk ahead,percent,0.161999929211857,Bin,1.1,1.2
HHS Region 1,3 wk ahead,percent,0.132999931546244,Bin,1.2,1.3
HHS Region 1,3 wk ahead,percent,0.121999928085983,Bin,1.3,1.4
HHS Region 1,3 wk ahead,percent,0.0879999447530577,Bin,1.4,1.5
HHS Region 1,3 wk ahead,percent,0.0629999593677921,Bin,1.5,1.6
HHS Region 1,3 wk ahead,percent,0.0349999773683902,Bin,1.6,1.7
HHS Region 1,3 wk ahead,percent,0.0219999858113757,Bin,1.7,1.8
HHS Region 1,3 wk ahead,percent,0.0169999890586778,Bin,1.8,1.9
HHS Region 1,3 wk ahead,percent,0.00799999490382152,Bin,1.9,2.0
HHS Region 1,3 wk ahead,percent,0.00699999555328194,Bin,2.0,2.1
HHS Region 1,3 wk ahead,percent,0.00299999815112361,Bin,2.1,2.2
HHS Region 1,3 wk ahead,percent,0.00299999815112361,Bin,2.2,2.3
HHS Region 1,3 wk ahead,percent,0.00299999815112361,Bin,2.3,2.4
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,2.4,2.5
HHS Region 1,3 wk ahead,percent,0.0039999975016632,Bin,2.5,2.6
HHS Region 1,3 wk ahead,percent,0.00099999945004445,Bin,2.6,2.7
HHS Region 1,3 wk ahead,percent,0.00099999945004445,Bin,2.7,2.8
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,2.8,2.9
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,2.9,3.0
HHS Region 1,3 wk ahead,percent,0.00199999880058403,Bin,3.0,3.1
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.1,3.2
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.2,3.3
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.3,3.4
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.4,3.5
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.5,3.6
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.6,3.7
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.7,3.8
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.8,3.9
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,3.9,4.0
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.0,4.1
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.1,4.2
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.2,4.3
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.3,4.4
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.4,4.5
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.5,4.6
HHS Region 1,3 wk ahead,percent,0.00099999945004445,Bin,4.6,4.7
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.7,4.8
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.8,4.9
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,4.9,5.0
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.0,5.1
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.1,5.2
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.2,5.3
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.3,5.4
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.4,5.5
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.5,5.6
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.6,5.7
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.7,5.8
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.8,5.9
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,5.9,6.0
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.0,6.1
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.1,6.2
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.2,6.3
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.3,6.4
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.4,6.5
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.5,6.6
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.6,6.7
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.7,6.8
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.8,6.9
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,6.9,7.0
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.0,7.1
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.1,7.2
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.2,7.3
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.3,7.4
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.4,7.5
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.5,7.6
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.6,7.7
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.7,7.8
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.8,7.9
HHS Region 1,3 wk ahead,percent,9.95048682562998e-11,Bin,7.9,8.0
HHS Region 1,3 wk ahead,percent,9.95048682563007e-11,Bin,8.0,8.1
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.1,8.2
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.2,8.3
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.3,8.4
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.4,8.5
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.5,8.6
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.6,8.7
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.7,8.8
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.8,8.9
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,8.9,9.0
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.0,9.1
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.1,9.2
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.2,9.3
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.3,9.4
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.4,9.5
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.5,9.6
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.6,9.7
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.7,9.8
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.8,9.9
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,9.9,10.0
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.0,10.1
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.1,10.2
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.2,10.3
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.3,10.4
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.4,10.5
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.5,10.6
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.6,10.7
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.7,10.8
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.8,10.9
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,10.9,11.0
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.0,11.1
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.1,11.2
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.2,11.3
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.3,11.4
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.4,11.5
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.5,11.6
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.6,11.7
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.7,11.8
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.8,11.9
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,11.9,12.0
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.0,12.1
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.1,12.2
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.2,12.3
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.3,12.4
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.4,12.5
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.5,12.6
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.6,12.7
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.7,12.8
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.8,12.9
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,12.9,13.0
HHS Region 1,3 wk ahead,percent,9.95048682563016e-11,Bin,13.0,100.0
HHS Region 1,4 wk ahead,percent,1.21887492699931e-10,Bin,0.0,0.1
HHS Region 1,4 wk ahead,percent,1.00804944613227e-09,Bin,0.1,0.2
HHS Region 1,4 wk ahead,percent,0.00100000457117171,Bin,0.2,0.3
HHS Region 1,4 wk ahead,percent,0.00100001724890487,Bin,0.3,0.4
HHS Region 1,4 wk ahead,percent,0.00100004182447565,Bin,0.4,0.5
HHS Region 1,4 wk ahead,percent,0.0110000665574869,Bin,0.5,0.6
HHS Region 1,4 wk ahead,percent,0.0160000890227218,Bin,0.6,0.7
HHS Region 1,4 wk ahead,percent,0.0180000979552812,Bin,0.7,0.8
HHS Region 1,4 wk ahead,percent,0.0460000704794713,Bin,0.8,0.9
HHS Region 1,4 wk ahead,percent,0.085000020112365,Bin,0.9,1.0
HHS Region 1,4 wk ahead,percent,0.118999970410637,Bin,1.0,1.1
HHS Region 1,4 wk ahead,percent,0.11999995122602,Bin,1.1,1.2
HHS Region 1,4 wk ahead,percent,0.130999933581267,Bin,1.2,1.3
HHS Region 1,4 wk ahead,percent,0.111999937682174,Bin,1.3,1.4
HHS Region 1,4 wk ahead,percent,0.0749999554176109,Bin,1.4,1.5
HHS Region 1,4 wk ahead,percent,0.0579999633868311,Bin,1.5,1.6
HHS Region 1,4 wk ahead,percent,0.0569999631649723,Bin,1.6,1.7
HHS Region 1,4 wk ahead,percent,0.0379999754345241,Bin,1.7,1.8
HHS Region 1,4 wk ahead,percent,0.0339999780323657,Bin,1.8,1.9
HHS Region 1,4 wk ahead,percent,0.0149999903721137,Bin,1.9,2.0
HHS Region 1,4 wk ahead,percent,0.0159999897226533,Bin,2.0,2.1
HHS Region 1,4 wk ahead,percent,0.0109999929699554,Bin,2.1,2.2
HHS Region 1,4 wk ahead,percent,0.00899999426887619,Bin,2.2,2.3
HHS Region 1,4 wk ahead,percent,0.00499999686671786,Bin,2.3,2.4
HHS Region 1,4 wk ahead,percent,0.00399999751617828,Bin,2.4,2.5
HHS Region 1,4 wk ahead,percent,0.00399999751617828,Bin,2.5,2.6
HHS Region 1,4 wk ahead,percent,0.00199999881509912,Bin,2.6,2.7
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,2.7,2.8
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,2.8,2.9
HHS Region 1,4 wk ahead,percent,0.00199999881509912,Bin,2.9,3.0
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,3.0,3.1
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.1,3.2
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,3.2,3.3
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.3,3.4
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.4,3.5
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.5,3.6
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.6,3.7
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.7,3.8
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.8,3.9
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,3.9,4.0
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.0,4.1
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,4.1,4.2
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,4.2,4.3
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.3,4.4
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.4,4.5
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.5,4.6
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.6,4.7
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.7,4.8
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.8,4.9
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,4.9,5.0
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.0,5.1
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,5.1,5.2
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.2,5.3
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.3,5.4
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.4,5.5
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,5.5,5.6
HHS Region 1,4 wk ahead,percent,0.000999999464559536,Bin,5.6,5.7
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.7,5.8
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.8,5.9
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,5.9,6.0
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.0,6.1
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.1,6.2
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.2,6.3
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.3,6.4
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.4,6.5
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.5,6.6
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.6,6.7
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.7,6.8
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.8,6.9
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,6.9,7.0
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.0,7.1
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.1,7.2
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.2,7.3
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.3,7.4
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.4,7.5
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.5,7.6
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.6,7.7
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.7,7.8
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.8,7.9
HHS Region 1,4 wk ahead,percent,1.14019954274325e-10,Bin,7.9,8.0
HHS Region 1,4 wk ahead,percent,1.14019954274326e-10,Bin,8.0,8.1
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.1,8.2
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.2,8.3
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.3,8.4
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.4,8.5
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.5,8.6
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.6,8.7
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.7,8.8
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.8,8.9
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,8.9,9.0
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.0,9.1
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.1,9.2
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.2,9.3
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.3,9.4
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.4,9.5
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.5,9.6
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.6,9.7
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.7,9.8
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.8,9.9
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,9.9,10.0
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.0,10.1
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.1,10.2
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.2,10.3
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.3,10.4
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.4,10.5
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.5,10.6
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.6,10.7
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.7,10.8
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.8,10.9
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,10.9,11.0
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.0,11.1
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.1,11.2
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.2,11.3
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.3,11.4
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.4,11.5
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.5,11.6
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.6,11.7
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.7,11.8
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.8,11.9
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,11.9,12.0
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.0,12.1
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.1,12.2
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.2,12.3
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.3,12.4
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.4,12.5
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.5,12.6
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.6,12.7
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.7,12.8
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.8,12.9
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,12.9,13.0
HHS Region 1,4 wk ahead,percent,1.14019954274327e-10,Bin,13.0,100.0
HHS Region 2,Season onset,week,0.000251071199600582,Bin,40.0,41.0
HHS Region 2,Season onset,week,0.00081296459534507,Bin,41.0,42.0
HHS Region 2,Season onset,week,0.00210834495499204,Bin,42.0,43.0
HHS Region 2,Season onset,week,0.131627676393211,Bin,43.0,44.0
HHS Region 2,Season onset,week,0.156016687521381,Bin,44.0,45.0
HHS Region 2,Season onset,week,0.12355109328907,Bin,45.0,46.0
HHS Region 2,Season onset,week,0.109884579028631,Bin,46.0,47.0
HHS Region 2,Season onset,week,0.0799223316016633,Bin,47.0,48.0
HHS Region 2,Season onset,week,0.0746665181766738,Bin,48.0,49.0
HHS Region 2,Season onset,week,0.0503193104341101,Bin,49.0,50.0
HHS Region 2,Season onset,week,0.036776835206932,Bin,50.0,51.0
HHS Region 2,Season onset,week,0.0284066746050653,Bin,51.0,52.0
HHS Region 2,Season onset,week,0.0212442235845237,Bin,52.0,53.0
HHS Region 2,Season onset,week,0.0148004942068363,Bin,1.0,2.0
HHS Region 2,Season onset,week,0.0164039619089012,Bin,2.0,3.0
HHS Region 2,Season onset,week,0.016783223774366,Bin,3.0,4.0
HHS Region 2,Season onset,week,0.0218651591320077,Bin,4.0,5.0
HHS Region 2,Season onset,week,0.020562579100357,Bin,5.0,6.0
HHS Region 2,Season onset,week,0.0211615941920184,Bin,6.0,7.0
HHS Region 2,Season onset,week,0.0158870345758957,Bin,7.0,8.0
HHS Region 2,Season onset,week,0.0112754910531541,Bin,8.0,9.0
HHS Region 2,Season onset,week,0.00738702592209899,Bin,9.0,10.0
HHS Region 2,Season onset,week,0.00327991042136671,Bin,10.0,11.0
HHS Region 2,Season onset,week,0.00128935379354577,Bin,11.0,12.0
HHS Region 2,Season onset,week,0.000402370821836632,Bin,12.0,13.0
HHS Region 2,Season onset,week,0.000120679018604964,Bin,13.0,14.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,14.0,15.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,15.0,16.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,16.0,17.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,17.0,18.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,18.0,19.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,19.0,20.0
HHS Region 2,Season onset,week,0.000104713289886749,Bin,20.0,21.0
HHS Region 2,Season onset,week,0.0324598184586048,Bin,none,none
HHS Region 2,Season peak week,week,9.34865164363678e-05,Bin,40.0,41.0
HHS Region 2,Season peak week,week,9.34865164363678e-05,Bin,41.0,42.0
HHS Region 2,Season peak week,week,0.00134750075950869,Bin,42.0,43.0
HHS Region 2,Season peak week,week,0.00197450788104485,Bin,43.0,44.0
HHS Region 2,Season peak week,week,0.00072049363797253,Bin,44.0,45.0
HHS Region 2,Season peak week,week,0.00385552924565334,Bin,45.0,46.0
HHS Region 2,Season peak week,week,0.00707284645386058,Bin,46.0,47.0
HHS Region 2,Season peak week,week,0.00455736609313372,Bin,47.0,48.0
HHS Region 2,Season peak week,week,0.0117531073105237,Bin,48.0,49.0
HHS Region 2,Season peak week,week,0.0272595963483808,Bin,49.0,50.0
HHS Region 2,Season peak week,week,0.0380668505038591,Bin,50.0,51.0
HHS Region 2,Season peak week,week,0.0564713985026041,Bin,51.0,52.0
HHS Region 2,Season peak week,week,0.067686934430064,Bin,52.0,53.0
HHS Region 2,Season peak week,week,0.0504033272537721,Bin,1.0,2.0
HHS Region 2,Season peak week,week,0.0545049380275264,Bin,2.0,3.0
HHS Region 2,Season peak week,week,0.0610073794241725,Bin,3.0,4.0
HHS Region 2,Season peak week,week,0.0654631228705966,Bin,4.0,5.0
HHS Region 2,Season peak week,week,0.0911360684210191,Bin,5.0,6.0
HHS Region 2,Season peak week,week,0.101357186756461,Bin,6.0,7.0
HHS Region 2,Season peak week,week,0.093672655004239,Bin,7.0,8.0
HHS Region 2,Season peak week,week,0.0682483443625659,Bin,8.0,9.0
HHS Region 2,Season peak week,week,0.0468764914946474,Bin,9.0,10.0
HHS Region 2,Season peak week,week,0.0456169518937124,Bin,10.0,11.0
HHS Region 2,Season peak week,week,0.0296678654995338,Bin,11.0,12.0
HHS Region 2,Season peak week,week,0.0225283045048135,Bin,12.0,13.0
HHS Region 2,Season peak week,week,0.0181383781956737,Bin,13.0,14.0
HHS Region 2,Season peak week,week,0.0115142687465633,Bin,14.0,15.0
HHS Region 2,Season peak week,week,0.0051374581090686,Bin,15.0,16.0
HHS Region 2,Season peak week,week,0.00576446523060477,Bin,16.0,17.0
HHS Region 2,Season peak week,week,0.00325643674446012,Bin,17.0,18.0
HHS Region 2,Season peak week,week,0.00325643674446012,Bin,18.0,19.0
HHS Region 2,Season peak week,week,0.00137541537985163,Bin,19.0,20.0
HHS Region 2,Season peak week,week,0.000121401136779307,Bin,20.0,21.0
HHS Region 2,Season peak percentage,percent,0.000155665514090398,Bin,0.0,0.1
HHS Region 2,Season peak percentage,percent,0.000354851037112227,Bin,0.1,0.2
HHS Region 2,Season peak percentage,percent,0.000418291725859204,Bin,0.2,0.3
