location,target,unit,type,bin_start_incl,bin_end_notincl,value
HHS Region 9,Season peak percentage,percent,Bin,12.3,12.4,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,12.4,12.5,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,12.5,12.6,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,12.6,12.7,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,12.7,12.8,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,12.8,12.9,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,12.9,13,1.1030631112283013e-4
HHS Region 9,Season peak percentage,percent,Bin,13,100,1.1030631112283013e-4
HHS Region 9,1 wk ahead,percent,Bin,0,0.1,1.4977801971054666e-4
HHS Region 9,1 wk ahead,percent,Bin,0.1,0.2,3.539263797141688e-4
HHS Region 9,1 wk ahead,percent,Bin,0.2,0.3,4.378465643936862e-4
HHS Region 9,1 wk ahead,percent,Bin,0.3,0.4,5.367115507095562e-4
HHS Region 9,1 wk ahead,percent,Bin,0.4,0.5,6.51956611679804e-4
HHS Region 9,1 wk ahead,percent,Bin,0.5,0.6,7.848743558527126e-4
HHS Region 9,1 wk ahead,percent,Bin,0.6,0.7,9.36485201654679e-4
HHS Region 9,1 wk ahead,percent,Bin,0.7,0.8,0.001107520175658717
HHS Region 9,1 wk ahead,percent,Bin,0.8,0.9,0.0012984785377199697
HHS Region 9,1 wk ahead,percent,Bin,0.9,1,0.0015093005531879632
HHS Region 9,1 wk ahead,percent,Bin,1,1.1,0.0017396013478225606
HHS Region 9,1 wk ahead,percent,Bin,1.1,1.2,0.0019885952706834437
HHS Region 9,1 wk ahead,percent,Bin,1.2,1.3,0.002255009448901777
HHS Region 9,1 wk ahead,percent,Bin,1.3,1.4,0.0025372705602396913
HHS Region 9,1 wk ahead,percent,Bin,1.4,1.5,0.0028335748108266777
HHS Region 9,1 wk ahead,percent,Bin,1.5,1.6,0.0031419413420084967
HHS Region 9,1 wk ahead,percent,Bin,1.6,1.7,0.0034604006400982966
HHS Region 9,1 wk ahead,percent,Bin,1.7,1.8,0.0037872761819996667
HHS Region 9,1 wk ahead,percent,Bin,1.8,1.9,0.00412121157275585
HHS Region 9,1 wk ahead,percent,Bin,1.9,2,0.004461438746493605
HHS Region 9,1 wk ahead,percent,Bin,2,2.1,0.004807980770397343
HHS Region 9,1 wk ahead,percent,Bin,2.1,2.2,0.005161750706800489
HHS Region 9,1 wk ahead,percent,Bin,2.2,2.3,0.005524655960545093
HHS Region 9,1 wk ahead,percent,Bin,2.3,2.4,0.0058996691846564635
HHS Region 9,1 wk ahead,percent,Bin,2.4,2.5,0.00629083596876505
HHS Region 9,1 wk ahead,percent,Bin,2.5,2.6,0.006702940932340112
HHS Region 9,1 wk ahead,percent,Bin,2.6,2.7,0.007141662813470881
HHS Region 9,1 wk ahead,percent,Bin,2.7,2.8,0.0076131184292321415
HHS Region 9,1 wk ahead,percent,Bin,2.8,2.9,0.008123355072055605
HHS Region 9,1 wk ahead,percent,Bin,2.9,3,0.008678218742793177
HHS Region 9,1 wk ahead,percent,Bin,3,3.1,0.009282889195330025
HHS Region 9,1 wk ahead,percent,Bin,3.1,3.2,0.00994116463300876
HHS Region 9,1 wk ahead,percent,Bin,3.2,3.3,0.010655181041373227
HHS Region 9,1 wk ahead,percent,Bin,3.3,3.4,0.011425361375540911
HHS Region 9,1 wk ahead,percent,Bin,3.4,3.5,0.01224927474580382
HHS Region 9,1 wk ahead,percent,Bin,3.5,3.6,0.013122288305577967
HHS Region 9,1 wk ahead,percent,Bin,3.6,3.7,0.014037043669666776
HHS Region 9,1 wk ahead,percent,Bin,3.7,3.8,0.014983419988004213
HHS Region 9,1 wk ahead,percent,Bin,3.8,3.9,0.01594901273154673
HHS Region 9,1 wk ahead,percent,Bin,3.9,4,0.016919314634136994
HHS Region 9,1 wk ahead,percent,Bin,4,4.1,0.01787814788252792
HHS Region 9,1 wk ahead,percent,Bin,4.1,4.2,0.018808589967073696
HHS Region 9,1 wk ahead,percent,Bin,4.2,4.3,0.019693032419047907
HHS Region 9,1 wk ahead,percent,Bin,4.3,4.4,0.020514461462851623
HHS Region 9,1 wk ahead,percent,Bin,4.4,4.5,0.0212570863382686
HHS Region 9,1 wk ahead,percent,Bin,4.5,4.6,0.021906482916237882
HHS Region 9,1 wk ahead,percent,Bin,4.6,4.7,0.02245078148338252
HHS Region 9,1 wk ahead,percent,Bin,4.7,4.8,0.022881144923084695
HHS Region 9,1 wk ahead,percent,Bin,4.8,4.9,0.023191318235585182
HHS Region 9,1 wk ahead,percent,Bin,4.9,5,0.023378340599878818
HHS Region 9,1 wk ahead,percent,Bin,5,5.1,0.023443410420436805
HHS Region 9,1 wk ahead,percent,Bin,5.1,5.2,0.023389389623551117
HHS Region 9,1 wk ahead,percent,Bin,5.2,5.3,0.023222416892640003
HHS Region 9,1 wk ahead,percent,Bin,5.3,5.4,0.02295127292917613
HHS Region 9,1 wk ahead,percent,Bin,5.4,5.5,0.02258601569629016
HHS Region 9,1 wk ahead,percent,Bin,5.5,5.6,0.02213787307412029
HHS Region 9,1 wk ahead,percent,Bin,5.6,5.7,0.021618967553492373
HHS Region 9,1 wk ahead,percent,Bin,5.7,5.8,0.021041410328392306
HHS Region 9,1 wk ahead,percent,Bin,5.8,5.9,0.020416777424045497
HHS Region 9,1 wk ahead,percent,Bin,5.9,6,0.019756345459196946
HHS Region 9,1 wk ahead,percent,Bin,6,6.1,0.019070147466171455
HHS Region 9,1 wk ahead,percent,Bin,6.1,6.2,0.018367228081262114
HHS Region 9,1 wk ahead,percent,Bin,6.2,6.3,0.01765553189154588
HHS Region 9,1 wk ahead,percent,Bin,6.3,6.4,0.01694182029370414
HHS Region 9,1 wk ahead,percent,Bin,6.4,6.5,0.016231833427783456
HHS Region 9,1 wk ahead,percent,Bin,6.5,6.6,0.015530358680817891
HHS Region 9,1 wk ahead,percent,Bin,6.6,6.7,0.014841289440353672
HHS Region 9,1 wk ahead,percent,Bin,6.7,6.8,0.014167921339395323
HHS Region 9,1 wk ahead,percent,Bin,6.8,6.9,0.013512800285152097
HHS Region 9,1 wk ahead,percent,Bin,6.9,7,0.012877912374724187
HHS Region 9,1 wk ahead,percent,Bin,7,7.1,0.012264731277220855
HHS Region 9,1 wk ahead,percent,Bin,7.1,7.2,0.011674135710647973
HHS Region 9,1 wk ahead,percent,Bin,7.2,7.3,0.011106391468961332
HHS Region 9,1 wk ahead,percent,Bin,7.3,7.4,0.010561311607903802
HHS Region 9,1 wk ahead,percent,Bin,7.4,7.5,0.010038084296688633
HHS Region 9,1 wk ahead,percent,Bin,7.5,7.6,0.009535238444353089
HHS Region 9,1 wk ahead,percent,Bin,7.6,7.7,0.009051055669033319
HHS Region 9,1 wk ahead,percent,Bin,7.7,7.8,0.008583334444400103
HHS Region 9,1 wk ahead,percent,Bin,7.8,7.9,0.00812959337086014
HHS Region 9,1 wk ahead,percent,Bin,7.9,8,0.007687346953009024
HHS Region 9,1 wk ahead,percent,Bin,8,8.1,0.007254199752320552
HHS Region 9,1 wk ahead,percent,Bin,8.1,8.2,0.00682799826331116
HHS Region 9,1 wk ahead,percent,Bin,8.2,8.3,0.006407050559977848
HHS Region 9,1 wk ahead,percent,Bin,8.3,8.4,0.005990229358766447
HHS Region 9,1 wk ahead,percent,Bin,8.4,8.5,0.005577026093985534
HHS Region 9,1 wk ahead,percent,Bin,8.5,8.6,0.005167640544908788
HHS Region 9,1 wk ahead,percent,Bin,8.6,8.7,0.004762947028000115
HHS Region 9,1 wk ahead,percent,Bin,8.7,8.8,0.004364415127237951
HHS Region 9,1 wk ahead,percent,Bin,8.8,8.9,0.003974008671609076
HHS Region 9,1 wk ahead,percent,Bin,8.9,9,0.0035941098714352385
HHS Region 9,1 wk ahead,percent,Bin,9,9.1,0.003227243394107962
HHS Region 9,1 wk ahead,percent,Bin,9.1,9.2,0.002875935369038772
HHS Region 9,1 wk ahead,percent,Bin,9.2,9.3,0.0025427242103792064
HHS Region 9,1 wk ahead,percent,Bin,9.3,9.4,0.0022297326922246837
HHS Region 9,1 wk ahead,percent,Bin,9.4,9.5,0.0019387667121558033
HHS Region 9,1 wk ahead,percent,Bin,9.5,9.6,0.0016711713883664579
HHS Region 9,1 wk ahead,percent,Bin,9.6,9.7,0.0014277423658046128
HHS Region 9,1 wk ahead,percent,Bin,9.7,9.8,0.0012086980868717487
HHS Region 9,1 wk ahead,percent,Bin,9.8,9.9,0.001013868729820509
HHS Region 9,1 wk ahead,percent,Bin,9.9,10,8.425430743764328e-4
HHS Region 9,1 wk ahead,percent,Bin,10,10.1,6.934843752172325e-4
HHS Region 9,1 wk ahead,percent,Bin,10.1,10.2,5.653702103208441e-4
HHS Region 9,1 wk ahead,percent,Bin,10.2,10.3,4.5651059120035064e-4
HHS Region 9,1 wk ahead,percent,Bin,10.3,10.4,3.650183119580571e-4
HHS Region 9,1 wk ahead,percent,Bin,10.4,10.5,2.8901250163189943e-4
HHS Region 9,1 wk ahead,percent,Bin,10.5,10.6,2.2660437419797189e-4
HHS Region 9,1 wk ahead,percent,Bin,10.6,10.7,1.759018478236453e-4
HHS Region 9,1 wk ahead,percent,Bin,10.7,10.8,1.3519022855296094e-4
HHS Region 9,1 wk ahead,percent,Bin,10.8,10.9,1.0288394275157923e-4
HHS Region 9,1 wk ahead,percent,Bin,10.9,11,7.750411808935205e-5
HHS Region 9,1 wk ahead,percent,Bin,11,11.1,5.781406444618175e-5
HHS Region 9,1 wk ahead,percent,Bin,11.1,11.2,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.2,11.3,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.3,11.4,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.4,11.5,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.5,11.6,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.6,11.7,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.7,11.8,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.8,11.9,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,11.9,12,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12,12.1,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.1,12.2,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.2,12.3,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.3,12.4,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.4,12.5,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.5,12.6,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.6,12.7,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.7,12.8,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.8,12.9,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,12.9,13,5.0149260634224974e-5
HHS Region 9,1 wk ahead,percent,Bin,13,100,5.0149260634224974e-5
HHS Region 9,2 wk ahead,percent,Bin,0,0.1,5.842101447291263e-5
HHS Region 9,2 wk ahead,percent,Bin,0.1,0.2,1.1684202894582529e-4
HHS Region 9,2 wk ahead,percent,Bin,0.2,0.3,1.168420289458252e-4
HHS Region 9,2 wk ahead,percent,Bin,0.3,0.4,1.168420289458252e-4
HHS Region 9,2 wk ahead,percent,Bin,0.4,0.5,1.168420289458252e-4
HHS Region 9,2 wk ahead,percent,Bin,0.5,0.6,1.1684202894582529e-4
HHS Region 9,2 wk ahead,percent,Bin,0.6,0.7,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,0.7,0.8,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,0.8,0.9,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,0.9,1,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1,1.1,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.1,1.2,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.2,1.3,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.3,1.4,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.4,1.5,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.5,1.6,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.6,1.7,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.7,1.8,1.1684202894582535e-4
HHS Region 9,2 wk ahead,percent,Bin,1.8,1.9,1.6122638362634417e-4
HHS Region 9,2 wk ahead,percent,Bin,1.9,2,3.646697811219807e-4
HHS Region 9,2 wk ahead,percent,Bin,2,2.1,7.764044195704605e-4
HHS Region 9,2 wk ahead,percent,Bin,2.1,2.2,0.0015451386522188093
HHS Region 9,2 wk ahead,percent,Bin,2.2,2.3,0.0028816040065908458
HHS Region 9,2 wk ahead,percent,Bin,2.3,2.4,0.005048975669769349
HHS Region 9,2 wk ahead,percent,Bin,2.4,2.5,0.008330422120399052
HHS Region 9,2 wk ahead,percent,Bin,2.5,2.6,0.012966943655148905
HHS Region 9,2 wk ahead,percent,Bin,2.6,2.7,0.01906255833273892
HHS Region 9,2 wk ahead,percent,Bin,2.7,2.8,0.026477255624263177
HHS Region 9,2 wk ahead,percent,Bin,2.8,2.9,0.034735188478291934
HHS Region 9,2 wk ahead,percent,Bin,2.9,3,0.04300419662596308
HHS Region 9,2 wk ahead,percent,Bin,3,3.1,0.05019277868464759
HHS Region 9,2 wk ahead,percent,Bin,3.1,3.2,0.05517450110244187
HHS Region 9,2 wk ahead,percent,Bin,3.2,3.3,0.05708720465553265
HHS Region 9,2 wk ahead,percent,Bin,3.3,3.4,0.055595456975536216
HHS Region 9,2 wk ahead,percent,Bin,3.4,3.5,0.05100656826271072
HHS Region 9,2 wk ahead,percent,Bin,3.5,3.6,0.044185738547774925
HHS Region 9,2 wk ahead,percent,Bin,3.6,3.7,0.03630900966338804
HHS Region 9,2 wk ahead,percent,Bin,3.7,3.8,0.02856737813083102
HHS Region 9,2 wk ahead,percent,Bin,3.8,3.9,0.021922671147866012
HHS Region 9,2 wk ahead,percent,Bin,3.9,4,0.016974462289665582
HHS Region 9,2 wk ahead,percent,Bin,4,4.1,0.01393256799533045
HHS Region 9,2 wk ahead,percent,Bin,4.1,4.2,0.012661007926648923
HHS Region 9,2 wk ahead,percent,Bin,4.2,4.3,0.012770511202637684
HHS Region 9,2 wk ahead,percent,Bin,4.3,4.4,0.013743174448277403
HHS Region 9,2 wk ahead,percent,Bin,4.4,4.5,0.015083716184674948
HHS Region 9,2 wk ahead,percent,Bin,4.5,4.6,0.0164527106456061
HHS Region 9,2 wk ahead,percent,Bin,4.6,4.7,0.0177298120629835
HHS Region 9,2 wk ahead,percent,Bin,4.7,4.8,0.018965163268794185
HHS Region 9,2 wk ahead,percent,Bin,4.8,4.9,0.020235609482600937
HHS Region 9,2 wk ahead,percent,Bin,4.9,5,0.02148548895142034
HHS Region 9,2 wk ahead,percent,Bin,5,5.1,0.02245377978357965
HHS Region 9,2 wk ahead,percent,Bin,5.1,5.2,0.022745533214189886
HHS Region 9,2 wk ahead,percent,Bin,5.2,5.3,0.022017273561949408
HHS Region 9,2 wk ahead,percent,Bin,5.3,5.4,0.02017189272598384
HHS Region 9,2 wk ahead,percent,Bin,5.4,5.5,0.017454634999954775
HHS Region 9,2 wk ahead,percent,Bin,5.5,5.6,0.014396362290875995
HHS Region 9,2 wk ahead,percent,Bin,5.6,5.7,0.011638940654581072
HHS Region 9,2 wk ahead,percent,Bin,5.7,5.8,0.00972649532068301
HHS Region 9,2 wk ahead,percent,Bin,5.8,5.9,0.008944466580883331
HHS Region 9,2 wk ahead,percent,Bin,5.9,6,0.0092533693844338
HHS Region 9,2 wk ahead,percent,Bin,6,6.1,0.01031741030092702
HHS Region 9,2 wk ahead,percent,Bin,6.1,6.2,0.011615025118826809
HHS Region 9,2 wk ahead,percent,Bin,6.2,6.3,0.012593976075614343
HHS Region 9,2 wk ahead,percent,Bin,6.3,6.4,0.01283179750543505
HHS Region 9,2 wk ahead,percent,Bin,6.4,6.5,0.012149852574170448
HHS Region 9,2 wk ahead,percent,Bin,6.5,6.6,0.010640612373245265
HHS Region 9,2 wk ahead,percent,Bin,6.6,6.7,0.008602815787624011
HHS Region 9,2 wk ahead,percent,Bin,6.7,6.8,0.006415753159900351
HHS Region 9,2 wk ahead,percent,Bin,6.8,6.9,0.004412158743669893
HHS Region 9,2 wk ahead,percent,Bin,6.9,7,0.002797604068861589
HHS Region 9,2 wk ahead,percent,Bin,7,7.1,0.0016354532529456991
HHS Region 9,2 wk ahead,percent,Bin,7.1,7.2,8.81447248992842e-4
HHS Region 9,2 wk ahead,percent,Bin,7.2,7.3,0.00043796141178484435
HHS Region 9,2 wk ahead,percent,Bin,7.3,7.4,2.016688708284916e-4
HHS Region 9,2 wk ahead,percent,Bin,7.4,7.5,1.4366428253393852e-4
HHS Region 9,2 wk ahead,percent,Bin,7.5,7.6,1.4366428253393852e-4
HHS Region 9,2 wk ahead,percent,Bin,7.6,7.7,1.4366428253393852e-4
HHS Region 9,2 wk ahead,percent,Bin,7.7,7.8,1.4366428253393852e-4
HHS Region 9,2 wk ahead,percent,Bin,7.8,7.9,1.4366428253393852e-4
HHS Region 9,2 wk ahead,percent,Bin,7.9,8,1.4366428253393852e-4
HHS Region 9,2 wk ahead,percent,Bin,8,8.1,1.436642825339398e-4
HHS Region 9,2 wk ahead,percent,Bin,8.1,8.2,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.2,8.3,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.3,8.4,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.4,8.5,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.5,8.6,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.6,8.7,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.7,8.8,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.8,8.9,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,8.9,9,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9,9.1,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.1,9.2,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.2,9.3,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.3,9.4,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.4,9.5,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.5,9.6,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.6,9.7,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.7,9.8,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.8,9.9,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,9.9,10,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10,10.1,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.1,10.2,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.2,10.3,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.3,10.4,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.4,10.5,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.5,10.6,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.6,10.7,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.7,10.8,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.8,10.9,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,10.9,11,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11,11.1,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.1,11.2,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.2,11.3,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.3,11.4,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.4,11.5,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.5,11.6,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.6,11.7,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.7,11.8,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.8,11.9,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,11.9,12,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12,12.1,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.1,12.2,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.2,12.3,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.3,12.4,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.4,12.5,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.5,12.6,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.6,12.7,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.7,12.8,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.8,12.9,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,12.9,13,1.4366428253394107e-4
HHS Region 9,2 wk ahead,percent,Bin,13,100,1.4366428253394107e-4
HHS Region 9,3 wk ahead,percent,Bin,0,0.1,4.321173818591709e-5
HHS Region 9,3 wk ahead,percent,Bin,0.1,0.2,9.954539232913958e-5
HHS Region 9,3 wk ahead,percent,Bin,0.2,0.3,1.5418548006093812e-4
HHS Region 9,3 wk ahead,percent,Bin,0.3,0.4,2.3627987325592056e-4
HHS Region 9,3 wk ahead,percent,Bin,0.4,0.5,3.544327814377825e-4
HHS Region 9,3 wk ahead,percent,Bin,0.5,0.6,5.205016648657118e-4
HHS Region 9,3 wk ahead,percent,Bin,0.6,0.7,7.486576488921638e-4
HHS Region 9,3 wk ahead,percent,Bin,0.7,0.8,0.0010550133038471873
HHS Region 9,3 wk ahead,percent,Bin,0.8,0.9,0.0014570898359125635
HHS Region 9,3 wk ahead,percent,Bin,0.9,1,0.0019732812219186687
HHS Region 9,3 wk ahead,percent,Bin,1,1.1,0.0026216465961617194
HHS Region 9,3 wk ahead,percent,Bin,1.1,1.2,0.0034187145395206766
HHS Region 9,3 wk ahead,percent,Bin,1.2,1.3,0.004378278075728526
HHS Region 9,3 wk ahead,percent,Bin,1.3,1.4,0.00551016597170738
HHS Region 9,3 wk ahead,percent,Bin,1.4,1.5,0.0068188433455460065
HHS Region 9,3 wk ahead,percent,Bin,1.5,1.6,0.008302682788140704
HHS Region 9,3 wk ahead,percent,Bin,1.6,1.7,0.009953085278964309
HHS Region 9,3 wk ahead,percent,Bin,1.7,1.8,0.011754096277366425
HHS Region 9,3 wk ahead,percent,Bin,1.8,1.9,0.013681981715113404
HHS Region 9,3 wk ahead,percent,Bin,1.9,2,0.015705594101633257
HHS Region 9,3 wk ahead,percent,Bin,2,2.1,0.017786460707406106
HHS Region 9,3 wk ahead,percent,Bin,2.1,2.2,0.019879839830032674
HHS Region 9,3 wk ahead,percent,Bin,2.2,2.3,0.021936108430509107
HHS Region 9,3 wk ahead,percent,Bin,2.3,2.4,0.023902786368337946
HHS Region 9,3 wk ahead,percent,Bin,2.4,2.5,0.02572772010279522
HHS Region 9,3 wk ahead,percent,Bin,2.5,2.6,0.02736244467136624
HHS Region 9,3 wk ahead,percent,Bin,2.6,2.7,0.028765833674525097
HHS Region 9,3 wk ahead,percent,Bin,2.7,2.8,0.029908701499449956
HHS Region 9,3 wk ahead,percent,Bin,2.8,2.9,0.03077596850462653
HHS Region 9,3 wk ahead,percent,Bin,2.9,3,0.0313687165700836
HHS Region 9,3 wk ahead,percent,Bin,3,3.1,0.03170384460903961
HHS Region 9,3 wk ahead,percent,Bin,3.1,3.2,0.031812040513827876
HHS Region 9,3 wk ahead,percent,Bin,3.2,3.3,0.03173314835499256
HHS Region 9,3 wk ahead,percent,Bin,3.3,3.4,0.03151108782273587
HHS Region 9,3 wk ahead,percent,Bin,3.4,3.5,0.03118798695414067
HHS Region 9,3 wk ahead,percent,Bin,3.5,3.6,0.030798767016566964
HHS Region 9,3 wk ahead,percent,Bin,3.6,3.7,0.030367429937499014
HHS Region 9,3 wk ahead,percent,Bin,3.7,3.8,0.02990517726310524
HHS Region 9,3 wk ahead,percent,Bin,3.8,3.9,0.029410778912346634
HHS Region 9,3 wk ahead,percent,Bin,3.9,4,0.02887275792634522
HHS Region 9,3 wk ahead,percent,Bin,4,4.1,0.02827295551653824
HHS Region 9,3 wk ahead,percent,Bin,4.1,4.2,0.027590484444132427
HHS Region 9,3 wk ahead,percent,Bin,4.2,4.3,0.0268053413244018
HHS Region 9,3 wk ahead,percent,Bin,4.3,4.4,0.025901492487462482
HHS Region 9,3 wk ahead,percent,Bin,4.4,4.5,0.024868740086184477
HHS Region 9,3 wk ahead,percent,Bin,4.5,4.6,0.023703383982289924
HHS Region 9,3 wk ahead,percent,Bin,4.6,4.7,0.022408412318767786
HHS Region 9,3 wk ahead,percent,Bin,4.7,4.8,0.02099332927877435
HHS Region 9,3 wk ahead,percent,Bin,4.8,4.9,0.01947323762834208
HHS Region 9,3 wk ahead,percent,Bin,4.9,5,0.017868454984536205
HHS Region 9,3 wk ahead,percent,Bin,5,5.1,0.016203896140413912
HHS Region 9,3 wk ahead,percent,Bin,5.1,5.2,0.014508208855942548
HHS Region 9,3 wk ahead,percent,Bin,5.2,5.3,0.012812726637539877
HHS Region 9,3 wk ahead,percent,Bin,5.3,5.4,0.0111500495085245
HHS Region 9,3 wk ahead,percent,Bin,5.4,5.5,0.00955220604787402
HHS Region 9,3 wk ahead,percent,Bin,5.5,5.6,0.008048719386320504
HHS Region 9,3 wk ahead,percent,Bin,5.6,5.7,0.006664655692098547
HHS Region 9,3 wk ahead,percent,Bin,5.7,5.8,0.0054189057574858005
HHS Region 9,3 wk ahead,percent,Bin,5.8,5.9,0.004323451963244681
HHS Region 9,3 wk ahead,percent,Bin,5.9,6,0.003382667772104222
HHS Region 9,3 wk ahead,percent,Bin,6,6.1,0.0025939699113535623
HHS Region 9,3 wk ahead,percent,Bin,6.1,6.2,0.0019486066517893721
HHS Region 9,3 wk ahead,percent,Bin,6.2,6.3,0.0014334869527248436
HHS Region 9,3 wk ahead,percent,Bin,6.3,6.4,0.0010322788153763088
HHS Region 9,3 wk ahead,percent,Bin,6.4,6.5,7.274280840216228e-4
HHS Region 9,3 wk ahead,percent,Bin,6.5,6.6,5.015482762694622e-4
HHS Region 9,3 wk ahead,percent,Bin,6.6,6.7,3.3824863107114204e-4
HHS Region 9,3 wk ahead,percent,Bin,6.7,6.8,2.230973338097369e-4
HHS Region 9,3 wk ahead,percent,Bin,6.8,6.9,1.446152162244243e-4
HHS Region 9,3 wk ahead,percent,Bin,6.9,7,1.2258891958161997e-4
HHS Region 9,3 wk ahead,percent,Bin,7,7.1,1.2258891958161997e-4
HHS Region 9,3 wk ahead,percent,Bin,7.1,7.2,1.2258891958161997e-4
